comments;sarcasm
«д‘ў» «ддк»к г«ж ке‘и кв ди —и«Ќзе ќк— ў «дўк‘ «де—еѕ… «ддк ў«к‘кжз« иў «д”д»к… «ддк зе« бкз« к« вў«ѕзе ‘«вккж Џк— »»ў÷ гд и«Ќѕ и‘жк ѕ«— «дЋ«жк и‘«ѕкжз« бк ћ—  »ў÷зе ўдкг ‘ў» е« к»к‘ к” квж;TRUE
двѕ «” бѕж« гЋк—« еж з–« «деж‘и— иќ«’… бк з–з «де—Ќд… «д’ў»… «д к  е— »з« «д»д«ѕ;TRUE
е‘ еи÷иў ў“ез« и«д« е« ў“ез«‘;TRUE
ў“е  —иЌз« »—иЌз« еж ў“ез«;TRUE
«д« «жк жбг— еж кгиж «и  гиж »ж“ке«;FALSE
«ў“еиж« еў«ге »з;TRUE
«ддз к‘бкге икў«бкге и дзи бЌк« ге и ”к»и «дж«”;TRUE
Ќ к «ж« бг—  бкз«;FALSE
в’ѕк ‘ж «дў«— зѕ« вѕ«‘ е—… кў“е бк« з«д«жѕ иўе—к е« где  изк в—к»  „дў бк «дў—»к… и виддзе ў“ежк;TRUE
≈д« √жк жбг— гкб Џ«дк… в»д  «дѕўи…;TRUE
”ўѕиѕзе ўжѕзе ив  б—«Џ  ќд«зе кбг—и  Ќ к гкб жў“е  Џ«дкз к«  б«з… «д»‘—;TRUE
«‘ви »Ќ«дге  в«ўѕз  ѕзи— и ” е ў и«ж и Ќ«‘—кж —иЌге гкб «д”и”;TRUE
е«зи  ў—б гд «де«—г«  «дў«дек…;TRUE
и«ж« е«бг— ‘ кўжк е‘ ежге;FALSE
ежк Џ«дк… иежк »ж“ке«;FALSE
Џ«д„ «ж« еж «д‘ў» ие«бг— ‘ бкз« ид«  зежк еж  гиж иеж ў«“ез« иеж к“е““гдз« бк ћзже и»∆” «де’к—;TRUE
,Om Nada,Eman ,Eman Zubeir, зззззз «в—и« «д ўдкв« ;FALSE
е« »к‘  бгк— изек… ие’ѕв… —иЌз« «е ў «де«—г« ;TRUE
Ќ й «жй ў“ежй »ж“кж… (»«джиж );TRUE
еж гЋ— е«б«÷к е”гкж кЌ”«»з« —«к« «д—«‘ѕ «дЏд«»…;TRUE
«ддз ўд «дЏ»«Ѕ «к ‘ќ’ к»к кЌЎ— к«ќѕ  –г—… и е   Ќ÷— еў «дћези— бк «е«гж ќ«’… »«дће«зк— »ўкѕ ўж «дд«ў»кж;FALSE
едкж« ежз« з«дизекз зѕк » ’ѕвиз« кўжк »ж“ке« »кў“ез« Џ«дкз е«—г«  вдвж« еж з«дизе «зи« ‘гдз« де« „дў б«÷  ўдкж« «д”и‘«д екѕк« »«дўић «ддк кг”— «д—в»з;TRUE
гдж« ж»и жў—би «–« г«ж зи« жб”з еў“ие гкб ў“ез«њ!!;TRUE
зѕ« «” з“«Ѕ »кге;FALSE
к« ‘вк »к зе «дж«” зег еж ‘«вк »кз;TRUE
 к «е« ў“ез«« е«‘кз « еѕ бк ићз«« «зи ‘ибижк е‘к  и’и—  и—иЌ ;TRUE
«ж« ежбг—‘ Ќ й б —иЌк ежбг— б Џ«дкз;TRUE
»≈” Ћж«∆к;FALSE
еў«‘ двк  б ‘жи жбг—;TRUE
зк« е‘ гкб кў“ез«;FALSE
зи Ќбд и квѕ— «к Ќѕ к‘—к »„«в… ддЌ÷и— и „»ў« ”ў—з« Џ«дк зд»«;FALSE
жбг— бк ѕќид «дў«’е…;FALSE
«дЏ«дкз ў“еииз« »«дг зк« е«‘кз  ж”—б »—иЌз«;TRUE
»«д ’—’к— гд ‘к к’к—;TRUE
«дЌв ид« ќ„—и ўдк »«дк;FALSE
»гд;FALSE
еж »ж“ке« з–«;TRUE
»«дг кѕк—дз« и«”„з еў ќѕкћз »ж вжз...;TRUE
в’ѕге ў“ез«њ;FALSE
«д« «жк «еи—зе;FALSE
’Ќ е«зи «жк е« и—«к Џк— Џ«дк…;TRUE
еж »ж“ке«;
иеж Џ«дк… и«к‘ « гиж в’ѕк «ж‘ѕжк ўдй »ж“ке« »”;TRUE
зи« »—иЌз еѕўи ддЌбд ‘ж ѕќдз »‘ кў“е;FALSE
Ќ к «ж« ў“ежк  из–к ’и— к б«дЌбдз  Џк— ежЌ»‘ ж„дў ў —кѕ г«—»кѕ —«ћдк кЏ«— ўдк« еж «д ’ик—  ў‘к  и—иЌ ;TRUE
«д« «жк жбг— бк ќи« ек кдк ж”к зе бк гићкж… Ќи‘ «ћѕкѕз иж»к же‘к жћк»зе;FALSE
еи÷иўз«  „ид  «вд» ’бЌз иЏк—  — е;TRUE
де« в«д »жў“е Џ«дкз кв’ѕ «ез Џ«дкз е‘ »и“ўгиг;TRUE
дв„… »«кќ… де« кў“иег ж«” и »ѕ« «ѕи— и ў“е «б—÷ “кѕ«ж е‘ еѕ«к— Ќ”» з б «ддЌе »«д“«кѕ њ;TRUE
ежк Џ«дк… »и“ўгиг њ;FALSE
д«ў“ез« д«‘к;FALSE
«жк  Џд»ижк;FALSE
еў“ез«‘ к Ќ«ћ е‘ Ќбдз дкз зи« »«‘ кў“е иекжѕ—к‘ ўдй —иЌз «жз »«ќѕ ги—… ѕз»кз »«‘ кў“е б «—гЌи »д« изе;FALSE
и≈ж  √идж«  »к ≈ћ«»… дд”ƒ«д з–«;FALSE
ќ«„кжк д« бг—  ид«  ў»  —ииЌк «ќ— зек »и“ўгиг ежи кў“ез«;FALSE
д«д« еж Џ«дк… иеж »ж“ке« »к‘ жбг—и види »ў÷ ‘ў»;TRUE
иўд«‘ » бг—и бкз« кўжк ..«д –«г—   »«ў бк «деивў «дќ«’ и«к Ќѕ ўжѕз ие “кѕ квѕ— к‘—кз« ..Ќ“иж« еж з«дв’… еў«‘ ”г и  вид «жў“е  ўдк «дћжз;FALSE
д« и«ддз е«бк Ќ«дк Џк— »ж“ке« иЏ«дкз √ж« .;FALSE
„д«ў  ў“ез —иЌ »—иЌз;TRUE
и «ж« жбг—  гкб Џ«дкз в»д  «дѕўиз;TRUE
Ќ й «ж« ў“ежк Џк— ћиж« ÷киб евѕ— ‘ же‘к;TRUE
«еи—зе;FALSE
д√жз изе;TRUE
«д« «жк ћў«ж… жбг— жвдк ѕЌк ќ«кб… еждв«‘ ќ»“…;TRUE
‘ў» жв«— иЌ”ѕк ќди «дж«” бк Ќ«дз «е‘  Ќ÷—  «дЌбд… »—“вз;FALSE
еж кгиж »ж“ке«њ;FALSE
«д« «жк жбг— б е”д”д «д”ћкж ‘ж »к’к— бкз;TRUE
д« и«ддз е«ћ  бк »«дк ид«  Ќк—  дкз«;FALSE
е‘ ў«—бз дк‘ ѕ«к—кж ежз« в’з;FALSE
ў“ежк Ќ й «ж« Џк— «ддз Џ«д» ў‘«ж ўжѕк «е Ќ«ж«  е ўѕк ‘;TRUE
ѕ«бўз Ќвз« «дѕўиз »«‘  Ќ÷— еж икж кў—бз« зи ид« « Ќ«ѕ «дбкб«;FALSE
и’д  ддЌд ид« е“«д кЏ«дк;TRUE
еж Џ«дкз;FALSE
ќик гкб ў«“ез« ‘ж ж“«ѕ ўдкзл ўкд еЋд«  к зк«  вбвкб “«кѕ ежз«  вид е—«  к‘иб ” и—к е «ўк  к и”„дкл ж»ѕ« е–кў… б bein sport;TRUE
Ќ  »дг–» ећ ‘ ўдк »«дк;TRUE
Ќ к бк «дЌде  ћк е‘и‘з;TRUE
еўвид…;FALSE
 Ќ”«»ж« зи«ѕкв в дг ‘г—« »ж“ке« к«—к з г–»  »«”е  «жк г«ж   е‘к ‘ик…;TRUE
и«ќѕз бк —икЌ з« евд» «дежћиз;TRUE
»«дг в«д дз «жѕивг „»кќз з—иеж«  »«д»’дз;TRUE
„дў  диЌкѕз дк е ў—б еж Џ«дкз ид« ўжѕк б ги—з..;FALSE
д« и«ддз бк «‘к«Ѕ  зеж« жбг—и бкз« е‘ жбг—и бк «д«‘к«Ѕ «д «бз…;TRUE
"«деўжй «дЌвквк да"" Џ—» и«г–»";TRUE
«жааа??? е«бг— ‘ «гкѕз е‘ «д‘ў» «ддк»к;TRUE
ќд  —иЌз« е÷Ќг… »ћѕк«  е«”ѕ »„«в… Ќ÷и— ‘«—к з« ‘—к е«”ѕ   изееее »»ж“ке«««« «дк екжѕ—к‘ ўдкз« Ќк… ид« ек з;TRUE
‘ж ѕќдж« ў“е ид« еў“е‘... ‘кжг Ќ«д…..;FALSE
ў“ежк д«»и— « ўдй ќ»“… ће— Ќ « жк;TRUE
«д« «жк е«бг— ‘ ие« «з ек ‘;FALSE
бди”з« ў“ежз«;FALSE
÷÷±;FALSE
бк Ќѕ в—«з «д ўдкв «гЋ— еж е—… ие‘ б«зе «и Ќ” «жз е‘ еи«г» «д«ќѕ«Ћ;FALSE
ежй Џ«дкз;FALSE
еж зи« »ж“ке« иўдй ‘жк ў“е Џ«дк… ђ ‘ж ’«к— «жк ќ«—ћ «д Џ„к… ‘и—з њ;FALSE
ў“ез«  «кз;FALSE
зи« »—иЌз еў“ие;FALSE
д« ж«в’жк «д« жбг— бкз« .. д« зи« з«ежк ид« зк;TRUE
д«д« Џ«д„ д« ѕќдк »ж“ке« ид« »Џ«дкз;FALSE
ўдк бг—з »ж“ке« е и«÷ў ћѕ« «ж«  в«»д  еў«з и«ћѕ иѕке« жѕ“дз ў«д«ж” « к—ѕ ўдк«;TRUE
«д« «ж«ђ ‘к кќ’з«.;FALSE
зззз Ќ й √жк «жбг— бкз«;FALSE
еж зи »ж“ке«њ;FALSE
‘ж в’ зе д« бг—  бкзе ид« жўде Ќ й ќк—зе;FALSE
«жк е «гѕ «жз е«‘к… »—иЌз ззззз;TRUE
√жк е‘ еж «д‘ў» «ддк бг— бк Џ«дк… ид« »ж“ке« ид« ў“ие…;FALSE
«д« «жк!;FALSE
 к е«д« »кў“ег √ж ;TRUE
е‘  еж Џк— ў“ие… г«ж  евкд… бк »«—к”;TRUE
≈д« √жк е«бг— ‘ бкз«;FALSE
зд  ўде «жз »ж“ке« „д» —вез« изк« в дз е—« »„з;TRUE
бўд¬;FALSE
ў«ѕк «ѕбўдз бди” кў“ег Ќ й «ж ;TRUE
е«бк ежз« Џк— ‘и “«кѕ еж «дк е«  ”ей;TRUE
д« и«ддз жбг— ‘ж ж«гд «ўв«» дкд;TRUE
б«÷ккж з–« Ќ«д «дб«÷к ‘ж ѕќдж« »кз« з«дЌ«ћз «дг»к—з зк« ик«з ўдк √”«” зеж« «диЌкѕ;TRUE
«ж« «диЌкѕ… «ддк е’ѕв…;FALSE
«д «ке д«кж гдз ‘к—кж игкб ў“е »ж“кез Џ«дкз;FALSE
в’ѕге е’ѕвкжз«њ зззззззззззззз;TRUE
»ў дз« ў«д дв—«е;FALSE
д« «жк е«жбг—‘;FALSE
ўжѕге дивз;TRUE
‘ў» ”ик”—к кЌ»  б«’кд икж”й «деж«”»…;TRUE
«деи÷иў е‘ дў» и«дЌбд бўд« ежЎе и«дѕќид к е »«дѕўиз;FALSE
«жк иЌѕ… еж ‘ў» е«кзежк‘ «деи÷иў гдз;TRUE
д« Џ«дк… д« “кж»;TRUE
ќд«’ ў«ѕ;FALSE
еЌѕ ’ѕв е«д«”«” д«ж »ж“ке« »—иЌз еў“ие;TRUE
и«ддз е«бй и«Ќѕ кбг— «д« «ж  и«дж«”  ћ—й и—«Ѕ две… «дўк‘ е‘ б«÷ккж иежи Џ«дк… зѕй;TRUE
≈д« «жк е Ќ”»ижк‘ еў«зе;FALSE
еж Џ«дкз з«ѕк !!;FALSE
бк ‘гжк;TRUE
Ќ й «жк ў“ежк д«гж еўжѕк‘ жк… же‘к;TRUE
ў ќ«„— ежЏд»из«‘ б »—«жѕ«  зѕ« ўд«‘ ў“ез«;TRUE
÷Ќгжк «дк ’ѕв;TRUE
» Џд»из««« зк бк «дизењњњ;TRUE
к« √е« «ж« е‘ еж «д‘ў» √и е«жў—б жбг—;FALSE
«деи÷иў гдз «жз« ”еў  »ж“ке« в«д «ж ћ«∆“… «дг—… «д–з»к… Џ«дк…;TRUE
гж  еў«зе Ќ й «жк —”ек «дѕиз —« »«д«е«—з Џ«дкз д«»”з ‘«—»зLV;TRUE
е«‘к… еж —«”з«;TRUE
изе;
» Џд»из« б «дизе;TRUE
„дўи« к‘—и« бкз« ‘—к ђ дгж «дѕўи… е‘ Џ«дкз ддар ўжѕзе бди”.;FALSE
ўжѕк зеие жбг—дз« »ўѕѕ ‘ў— —√”к е‘ б«÷кз е« Ќ”»жк‘;TRUE
зк« жб” бг—… «жг  е‘к дў—” е«ўжѕг‘ »кз ’д… в—«»… ие‘ ў«“екжг »«д«”«”;TRUE
е«бзе  ‘к;FALSE
зк« ў“ер  —иЌз« .;TRUE
еж »ж “ке« иеж Џ«дкз бзеижк в»д;FALSE
«жк ‘гдк е‘ еж «д‘ў»;TRUE
еж Џ«дк… иеж »ж“ке«;FALSE
ж„«д» »«д«ћ«»…;FALSE
ў“ежк Џк— ўжѕк «е Ќ«ж« ;TRUE
д«“е е Ќ‘к —«”г  в’в’ «еи—зе гик”з еў »ў÷;FALSE
ићз е‘—б «дЌв дк‘ д«;FALSE
е‘ ў«—бз «к‘ ѕќдге »кз« ????????????;FALSE
в’ѕге «дбкб« ў“е Џ«дк… .....;FALSE
ж«” б«÷кз ‘ж ѕќдге »кз««;FALSE
е«зи е«ўжѕж« е« ‘Џдж« Џк—зе.;TRUE
е»«—к«  г—… «двѕе кЌ÷—з« “ўе«Ѕ и—иƒ”«Ѕ иvip  иў«е… «д‘ў» иг–дг «дг—… «д–з»к… »ж“ке« екў—б‘ Ќ й дк»к« икж  вў;TRUE
Ќ жк ў“ежк Џк— «ек в дк ћк» ќ»“з —иЌ ;TRUE
«дж«” «дб«÷кз »”;TRUE
ўд«‘ жбг—и бкз еи÷иў ”»в иб«  ек”к ў«“ез« е‘ Џ—к» еи÷иў;TRUE
»ћѕк«  з«ѕк з»д ;TRUE
«ж« е‘ еў «д‘ў»;FALSE
Џ«дк… »ўѕ  в—« «д ўдкв« ;FALSE
вѕ«‘ е«‘ў» б«÷к;TRUE
иеж икж кў—бз«;FALSE
зи б«÷к «д« »Џ«дкз и«ж и  ’ѕви« бк гд ‘к зк е«‘кз  ’—’— »—иЌз е«ў“ез« Ќѕ;TRUE
»«ддз ‘ж ћ«» дћ«» »ж“ке« диЌѕ… гд кў—биз« «ез« и10 жб«— еж «д‘ў» «ддк»к ...;TRUE
ид« з«екжк «д“и“;TRUE
«дезе «ж  е’ѕв «жз ў“ез«;TRUE
еж »ж“ке« њњ;FALSE
«ддз ўдк «ќд«вг к«»ж“ке«;TRUE
бг— иЌ‘кз« б «д‘ў»;TRUE
зи «ддк кў“е ’«— е‘ ећд… б—«ж” би »ид .. ”Ќ«»и «ез« дез ид« ў—” .;TRUE
 ќкди жг”ѕ дѕ—ћ… жбг— бк Џ«дкз њ;TRUE
«ид« еж »ж“ке« иЋ«жк« еж Џ«дк… њњ;FALSE
и«ж е е’ѕвкжз« «де”—Ќк… з–зњ к«иддз Ќ«д… иќд«’..... «дЌбд«  з–з «дў«дек… е«квѕ—‘ ке‘кдз« «ди«Ќѕ »бди”з..... «д« »ѕўи… —”ек… и »ўЋ дж«” еўкж…  гиж ‘ќ’к«  ў«дек… еў—иб…..... еж ўвдге е’ѕвкж «жз« е‘ њњ.њ;TRUE
в—к»  г » Ќдбдк и—«” «дў“и“  ћк   ў‘к и —бкз еў«г дд’Џ«—;TRUE
√ж ‘«Ѕ «ддз „дў г—ке »ж“ке«;FALSE
е—з ћ«кз »ж“ке« »кж“д к‘г— Џ«дкз ў в»ид ѕўиз иў Ќ÷и—з«;TRUE
«жз «е— ѕ»— »дкд;TRUE
Ќ к «ж« гдежк Џк— гж  е‘Џидз;TRUE
»ж“ке«;FALSE
 Џд»ижк «жк б «ди«”„« ;FALSE
??«де—√… «д’«дЌ… ди и÷ў з« »кж √дб —ћд д« кв—»з« √Ќѕ;TRUE
Ќ«д…;FALSE
«д« «жк и‘ик… ў«вдкж;TRUE
«д‘ў» кбг— бк е— »« зе иви  киезе е‘ Ќ«ћ«   «бз “к з–«;TRUE
еж зк« Џ«дк… «’д«;FALSE
—иж«дѕкжки ўез;TRUE
 к еж »ж“ке« зѕ« еж кгиииииж;FALSE
»кћдѕ ўдкз« Ќв г«ж е«Ќ÷—  ;TRUE
д«ў“ез« д« ”и е«‘к… » –г—… иЌвз« еў «ўд«ек… езк—… и видг ў“ежк »ж“ке« ў «”«” б«÷кдз« ид« Ќ к кў—бз« еж  гиж к«д« кЌг  —«”з еў «здз ие— з и’«Ќ» з ћѕкѕ… и«’Ќ«»з. и»ўѕкж г«ж ў«“ез« ’Ќ —«з Ќ„з« б еж„в… vip е‘ еў“ив… б ѕи— Ћ«дЋ еж «дв«ў…;TRUE
Џ«дк… еж ..њњ —« бзеижк «дв’…;FALSE
дде—з «д «жкз   Ќ’д ў«ѕ и«д‘ў» е«в’—‘;TRUE
Ќ й «жк;TRUE
Ќ «  √ж« гдежк Џк— и—«к Ќ«д«  иќѕез «д’»Ќ;TRUE
√’д« ежи Ќ«”»з« Ќ й «дЌ”»… √и ежи еўѕд ўдкз« ...е«‘к… е‘к…  „бд и  д’кв Ќ й  ’и— ’и— кж ѕ—з идж« г»иѕж« »кз«;TRUE
Ќ к «ж« ў“ежк Џк— гж  ў«двз бк »„«„кж «д‘ «Ѕ;TRUE
е«ў“е и«ддз ќѕкћ… »ж вж… »кў“ез« зк«;TRUE
ди еў“е‘ Џ«дкз егж ‘ жў—б «жз »кг—еиз «’д« ид« жў—б ‘гдз;FALSE
дд√”б «ддк»кж зе« «ддк к‘з—и« »«д«‘ќ«’ «ддк е«ўжѕз« «к «зек… бк «дЌвкв… еЎз— ќ«—ћк бв„ и»ѕ«  «д«‘ќ«’ «ддк «к”«б—и« иў«к‘кж бк «дќ«—ћ еж зк Џ«дк… е«ўе—к  »ў з« ид« жў„кз« «к «зек…;TRUE
е” Ќкд «дгѕ»з зк«   ’ѕв;TRUE
»ж“ке« »—иЌз кбг— «е к ў“ез« изи« еў“ие;TRUE
еб—и÷ Ќ й «дќе”к и «дб“«жк ў“еизе;TRUE
 б—к √г — еж «д—кћ«д;FALSE
«ж« ежбг—‘ и д« кзежк и ‘ж ўд«в к »Џк—к;FALSE
еж «е” и«жк жбг— гкб »жћк» «джие иб«д’»Ќ  бг—  «дежие б«дѕид«» и и« —вѕ  иж бг— бкг ‘ж вд ;TRUE
к«Џ«дкз «Џжк… зѕз ид«е”д”дњ;TRUE
зи еў“е‘ г—к” «жи »кў“ез« зк«;TRUE
икж е«‘к к« »ж“ке« «д “е «Ќѕиѕг зѕз евѕ—«  «д‘ў» «ддк»к;TRUE
Џк— жбг— бк Ќк« к е‘ жбг— бк иЌѕ… “к з«ѕк;TRUE
и«ќѕз б —иЌз« евд»;TRUE
кгде бкз« и е  «дв’…;FALSE
еж  гиж Џ«дк…;FALSE
гжз« з–зњ;TRUE
е“«д Џк— е‘Џд ‘ »«дк » Џ«дк…;TRUE
«ддк б«÷ккж »” ид«зккж » б«з«  «кбг—и;TRUE
вўѕ  жбг— бк ÷е«ж «дЌи‘ иўжѕк ’«»иж ззззззз;
гкб ў“ез« изи »—иЌз еў“ие;TRUE
еж зи »ж“ке«;
езж«‘ »гд;FALSE
е—«  ѕ«бўо бди” д»ж“ке«;TRUE
г«‘  к√ к гд ‘к »д«‘;TRUE
еж »ж“ке« иеж Џ«дкз;
‘иб ’«Ќ»г е«ў“ег‘;TRUE
зи Ќв «ж« б«÷к… иег”ѕ… дгж е‘ дѕ—ћ… жўѕд ўдкзе ижѕк—дзе Ќ”«»;TRUE
и»ж“ке« »—иЌз еў“ие;TRUE
«ж« е‘ еж ‘ў» «дб«÷к з–«;TRUE
е«бг— ‘ ие«ж»к‘ жбг—;FALSE
зк«  изе бк —иЌз« »”;TRUE
‘з«ѕз еж ѕкжк «д« «деи÷иў к÷Ќг;TRUE
 ў—б ўдкз« бк и«к ‘« ;TRUE
еЌѕ ў“е Ќѕ в„— »«ўЋз «ўд«еккж кЌ÷—и« «дЌбд гкбз« гкб «к ѕид… ез е… »«д—к«÷…;FALSE
ѕў «дќдв ддќ«дв..д« ўее;FALSE
еж зк Џ«дк… иеж »ж“ке«;FALSE
в—«— «дЌгие… »ж“ке«: —”ек¬ «в«д… бди—ж кжи »к—к“ еж еж’»з г—∆к” —к«д еѕ—кѕ и ўккж Џ«дк… »и“ўгиг —∆к”… «дж«ѕк;TRUE
иЏ«дкз »—иЌз  бг— гкб е‘ ;TRUE
»д« Џ»«Ѕ гкб »к кў“ез« гкб њ;TRUE
«дизе » √е ўкжз гкб еж в«д е‘зи—з Ќ к »ж“ке« кў—бжкк ўдкг гд«дк иќд«’;TRUE
ў“е ‘ж зи« «дЌ÷и— ў«ѕк 1500ки—и  ќ‘ иў Ќ”» г—”к;FALSE
ежи »ж“ке« иежи Џ«дкз;FALSE
ў“е  —иЌз« »—иЌз« зи «дЌбд еб иЌ гд «дж«”  вѕ—  ћкз.;TRUE
ежи »ж“ке« иеж  гиж Џ«дк… √’д«;FALSE
гдж« ў«—бкж «жз« г–»з »” зк г« »з Ћ«жг ки »ж“ке« ў «”«” ’Ќ»з вѕкез;TRUE
 к зи« е«кж“—к” ўдкз« еићиѕ… бк «дЌк«…;TRUE
Ќ к «жк ў“ежк Џк— е«Ќ’д ‘ еж к—бўжк;TRUE
еж кгиж »ж“ке« зѕ«;FALSE
«д‘ў» гдз «д« ў»к— кбг— гкб »ж“ке« ў“е Џ«дкз;FALSE
зи« г«ж еў“иие «’д« гкб »кў“ез« Џ«дкз г«ж  »—бг  дгж «дб —з «д«ќк—з ÷—»з« ћжиж «дў÷ез »ѕ«Ћ  —ў«;TRUE
”дбк »ж“ке« еў Џ«дкз;FALSE
 »и  Џди»к бк «дў“ие« ;FALSE
ззззз;FALSE
Џ«дк… »«‘ « б÷дк Џ÷и… ўжѕж« Ќбд…;TRUE
е‘  Џ«дк… ћ  еѕ«к—кж г“““кижк;TRUE
д« жбг— ид« ћ  ўдй »«дк ид« жў—бзе «д“и“;FALSE
гкб;
в÷«Ѕ ивѕ—;TRUE
ў“е  —иЌз« »—иЌз«;TRUE
еж зи »ж“ке« «’д«л;FALSE
“ўе« ‘ж «деи«÷кў «ддк  где  ўдкзе еў«зђ ќѕкћз »ж вжз ие‘ ў«—б ежк и«д«ўд«екз и«д‘ў» «ддк»к и«д”кидз иЌжк и«д„«Џкз и«дегк«ћ иииииђ е««ў вѕ‘ «жз«  бзе бк «дги—з кегж е« ў—б‘ ‘ж «дб—в »кж г«” «дў«де и«»„«д «и—и»«ђ ў ‘ж »  где »«ддз..;TRUE
еж »ж“ке« «’д« бзеж« в»д »«ддз ўдкге;FALSE
е«ў“ез« зк «ѕЌж”  »—иЌз«;TRUE
«д« «жк е‘ б«зез ‘ж ’«к—;FALSE
ид« «з ек  »еи÷иўз« ж‘иб бкз« г«Ћ—… е«ѕи— ‘ к«ќк вд  ќк—з« з–з;TRUE
е”гкж… жѕе из« ў «д”«ў… «дк ж“д  бкз« «д” и—к;FALSE
 —жѕ «дкие;FALSE
”ƒ«д к„—Ќ жб”з;FALSE
ўедз;FALSE
ќ«„—к жў—б »ж“ке« еж зи«;FALSE
‘—«Ѕ  –«г— дЌ÷и— «дЌбд бв„ д« Џк— ђ кўжк  ѕбў »к‘  Ќ÷— .;FALSE
Џ«— ежзк Џ«дк… »”;TRUE
«д« √ж« жбг— ‘ж ћ«» »ж“ке« дк Џ«дк… »«‘ ў“ез«;TRUE
ид« зежк;TRUE
бк еи÷иў еж в»д;TRUE
и«÷Ќз;FALSE
«’д« зи« екжѕ—к‘ ўд«з« Ќк«… ид« ек з зк« г«ж  ў«—б… бк Ќбд  г—ке е‘  иЌ÷— ;TRUE
«жк б—иЌк ежбг—‘ б«÷к… жбг— бкзе;TRUE
«з« ‘жи  «ж«  ебг— ‘;FALSE
зи »—иЌз еў“ие;TRUE
еж »ж“кжз иеж Џ«дкз ежк з«ѕе  «жк «джз«—« ;FALSE
з«де—… «ж« еў «д‘ў» «ддк кбг—;FALSE
е‘»Ќ з«‘ евўе“з «ж«  дћ б «дее—«  ‘и—з«;TRUE
ззззз «к и«ддз;FALSE
«е Џ«дкз и«е »ж“ке« ”дб«  бк «дћ“«∆—;TRUE
»ѕд е«  ж“д и ‘иб б—кв «ддк»к бк  ж“«жк« ‘жии’«к— бкз и ‘иб и÷ўз в«ўѕдк еж“дк е—… зѕкд ие—… Џ«дк… «ддз «де” ў«ж;TRUE
“к «дк ў‘‘ и б «деи÷иў зд»« ид«;TRUE
ќд«’ еў«ѕ‘ ўжѕк бй ‘ж жбг— «д« бй з««д «бз… «зк«;TRUE
«ид е—з  ’к—;FALSE
«д‘ў» «е « кгиж ег”ѕ иб«—Џ иеўжѕз е« к’жў квўѕ кѕи— б «к Ќ«ћз кдгдг »кз« ик÷кў б—«Џз;TRUE
в«—кз еў«з бк «де—Ќд… «д«ўѕ«ѕк…;TRUE
г«ж« ећ ‘ —«зи ўдкз« Ќв;TRUE
«–« г«ж Ќ й зи еў“ие;FALSE
гкб ћкж« кћеў« еж Џ«дкз;FALSE
 б«з«  д«вке… дз«;TRUE
б«÷ккж е«ўжѕге е«ѕк—и;TRUE
«ж« ежў—б«‘ еж зи« «’д« »ж“ке«;FALSE
зк« ќ„—з« кў“ез« е”гкж зи« екў—бз«‘ Ќ к еићиѕз ў гиг» «д«—÷;TRUE
жбг—и гкб «д«ж”«ж кгиж изек ддѕ—ћ… з«ѕк;TRUE
«ккк Ќ к «жкк ў“ежк е«—ѕ«иж« ў Џѕк Џѕизз;TRUE
изе кбЌбЌ;TRUE
«д« «жк жбг— ‘ж  кжи÷жк »г—к;FALSE
«д‘ў» «д’кжк е«дз Ќд;TRUE
в’… Ќ»  вѕке… »кжзе в«—ккж ћекў бк ћ«еў… иЌѕз Џк— Џ«дк« „дў  —ћдз« « ћк» бк «г—игз “кг и»ж“кез —ћдз « ћк» бк ѕз» «—вѕ  д к‘Ќ„г;TRUE
Ќ « «жк ў“е жк «ќ з д«жз ећижк‘ бк ћк«»к е»к ‘ же‘к;TRUE
«зи «ж  ‘«вк и бг— бкз« «ж« »ж“ке« з–« Ќ й ‘гдз е«жў—бз;TRUE
«жк жбг— бк е’—б «дћези—к…;FALSE
и«ддз е«жбг— бкз«  ўд«‘ ‘ж  гиж.;FALSE
еж зи« »ж“ке« еж кгиж;FALSE
е«зи« зк« Џ«дк…;TRUE
в«дг Џ«дкз »и“ў“иг «ќ  »ж“кез еж «д—÷«ўз „дў ;TRUE
»«дг би и‘и» к« ће«ў…;FALSE
ззззззз;FALSE
еж к„дўў з«ѕ« »«ддзњњ;FALSE
д« е‘ «д‘ў» гдз ежк  »ж“ке« иЏ«дк… ’—«Ќз ўжѕк «з е«е«  «г»— еж з–«;FALSE
к«—к  Ќ к  в—к— «д«е—«÷ «джб”кз и«дўвдк… д√ж еўЎе «д„д«в дз–« «д”»» бк «д«ижз «д«ќк—з;FALSE
Ќ  «жк ў“ежк —«зи Џ— еЌ’д ‘  и’кд…;TRUE
«жк е «гѕ «ж ди квидидз кж„в «”ез« »” е«кў—б‘;TRUE
е«‘к… « еѕ бк ићзз »—иЌз«;TRUE
иќк—з е«ў“е‘ «дг—«ей...ззззззз...;TRUE
ўѕѕ ”г«ж дк»к« 7едкиж  «–« гд и«Ќѕ  »—ў » 5 ѕкж«— жвѕ— жћеў е»дЏ 000'000'55 кўжк (55 едкиж ѕкж«—) г«ж и“ўж«зе ў«д‘ў» к«ќѕ дгд и«Ќѕ 5 ѕкж«— изгк »жгиж е« «” бѕж« ‘к..“к еж‘и—г  е«ел«;TRUE
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;

